longitude,latitude
-149.95032,61.13782
-149.909,61.19542
-149.88789,61.21743
-149.86801,61.18736
-149.86568,61.14431
-149.83383,61.18072
-149.81281,61.21526
-149.77812,61.19598
-149.57101,61.32533
-149.8196,61.27584
-149.71147,61.25386
-149.12048,61.59984
-149.43718,60.12487
-151.0667,60.48356
-149.41112,61.57675
-86.81834,33.23805
-86.20554,34.27663
-85.95798,32.9207
-86.51839,31.27594
-85.82692,33.66802
-86.50282,34.32445
-86.97167,34.79458
-86.93758,34.78223
-87.49393,31.0223
-85.50032,32.57037
-85.48007,32.60521
-87.78788,30.88477
-87.18878,33.52026
-86.99893,33.36156
-86.96976,33.39602
-86.88593,33.55352
-86.87775,33.49596
-86.84934,33.50523
-86.83048,33.44168
-86.82191,33.46558
-86.80727,33.50398
-86.78941,33.4487
-86.73055,33.55953
-86.72444,33.52463
-86.70906,33.64576
-86.70779,33.43034
-86.6951,33.53131
-86.69449,33.59616
-86.66269,33.63605
-86.62264,33.63905
-86.719665,33.530434
-86.14672,34.1885
-87.06889,31.13483
-85.70281,34.15796
-87.14701,32.94459
-88.08323,30.76646
-86.34987,33.26282
-86.58613,32.80285
-86.843452,34.17437
-86.82636,34.16842
-87.91265,30.65172
-87.852242,30.655989
-87.02059,34.57969
-86.97348,34.56639
-86.93649,34.54787
-86.91389,34.53839
-85.43196,31.22745
-85.42726,31.25187
-85.40258,31.19064
-85.39112,31.25308
-85.36182,31.21251
-85.83179,31.32378
-85.14577,31.8823
-86.95353,31.44444
-86.90825,33.49887
-87.88629,30.51281
-87.82796,33.70078
-87.6674,34.84359
-87.66281,34.81601
-87.68346,30.39647
-85.75187,34.43741
-85.72856,34.43624
-86.80764,33.6091
-85.98757,34.00958
-86.81157,33.65743
-87.77639,31.70306
-87.68845,30.26839
-86.31121,34.33921
-87.59765,34.23894
-87.98981,34.12112
-86.94449,34.44731
-86.80621,33.40591
-86.35629,32.26921
-86.69099,34.70124
-86.68388,34.74569
-86.63766,34.75348
-86.62737,34.72442
-86.60017,34.74115
-86.58585,34.7718
-86.58335,34.72924
-86.57849,34.71834
-86.56698,34.64409
-86.56668,34.61259
-86.53718,34.79777
-85.76141,33.81755
-87.26764,33.84834
-86.55838,33.55558
-86.52195,33.56283
-88.18896,32.61614
-86.75093,34.67674
-86.7421,34.70969
-86.3524,32.3819
-86.9218,33.4563
-88.22294,30.75984
-88.22256,30.68404
-88.19118,30.64003
-88.16918,30.59147
-88.1497,30.72005
-88.1459,30.63254
-88.053238,30.68639
-88.14323,30.67569
-88.12874,30.71142
-88.11569,30.70148
-88.11462,30.67638
-88.11081,30.74451
-88.08303,30.67735
-88.075,30.75815
-88.0482,30.68779
-87.32062,31.51208
-86.30125,32.3802
-86.28654,32.35947
-86.21386,32.36
-86.18229,32.38267
-86.52044,33.56982
-87.27092,34.47781
-87.66748,34.70805
-87.59449,33.23971
-86.46705,33.95388
-85.37694,32.6532
-85.34682,32.64344
-86.24901,31.27686
-87.59177,30.26851
-85.82795,33.60863
-86.81174,33.29458
-86.810204,33.284679
-86.28871,33.6114
-85.02867,32.46836
-85.02415,32.48549
-86.42262,32.46037
-88.1106775,30.7445749
-86.03579,33.95938
-85.85173,34.49679
-86.647774,34.68404
-85.35866,33.15033
-87.70819,30.544
-87.71751,34.51435
-88.06875,30.82911
-86.0481,34.63089
-87.03517,32.43111
-88.23269,30.76756
-86.25417,33.16746
-86.09781,33.43544
-86.77411,33.5835
-87.737092,31.940595
-85.95895,31.78403
-87.56841,33.20541
-87.55079,33.19908
-87.54058,33.23379
-87.52487,33.17434
-87.47108,33.17632
-87.70387,34.71446
-85.69321,32.4271
-85.18295,32.84592
-86.21075,32.52403
-87.8177,33.9289
-93.08384,34.12093
-91.62807,35.76938
-92.57229,34.58189
-89.86978,35.92894
-92.49824,34.62085
-92.02839,34.97773
-91.95861,34.93779
-92.49082,35.09109
-92.42776,35.09169
-93.16253,35.22117
-92.66548,33.22903
-90.7895,35.03329
-92.02921,35.50679
-93.60377,33.67931
-93.06,34.47504
-93.05309,34.50345
-93.05642,34.65394
-93.05742,34.47325
-92.14065,34.89357
-92.12524,34.8682
-92.10954,34.88487
-90.67787,35.82806
-90.66457,35.73803
-92.41113,34.75087
-92.4087,34.71088
-92.40083,34.77248
-92.3669,34.75282
-92.34231,34.72242
-92.3412,34.75237
-92.33992,34.67551
-92.31766,34.75127
-93.22601,33.26691
-92.89625,34.45525
-91.80221,33.62871
-92.27268,34.79356
-92.26399,34.75608
-92.21461,34.789
-92.20054,34.77612
-90.69968,36.02504
-92.04359,34.23303
-92.00643,34.16942
-92.00313,34.21636
-90.96104,36.25048
-93.15715,35.27329
-93.11561,35.27823
-91.69781,35.25033
-90.57305,35.55371
-90.1944,35.1462
-90.15739,35.15841
-90.78204,35.2463
-112.08698,33.87166
-111.55257,33.41536
-111.5286,33.38836
-112.3051,33.4353
-112.29035,33.49146
-112.59109,33.43187
-114.58559,35.12188
-111.87416,34.56562
-111.74418,32.87969
-111.69102,32.87956
-111.671827,32.813299
-111.94845,33.30513
-111.9268,33.31977
-111.87592,33.32079
-111.85844,33.27739
-111.84149,33.32088
-111.84116,33.24885
-111.85926,33.34939
-112.00127,34.72149
-110.87521,32.18641
-111.66151,35.18423
-111.38885,33.01966
