State,lat,long
Alabama,32.918070, -86.646127
Alaska,65.112922, -150.324408
Arizona,34.476262, -111.771030
Arkansas,34.737473, -92.289493
California,37.011602, -122.033029
Colorado,39.011167, -105.502360
Connecticut,41.656065, -72.676222
Delaware,39.057681, -75.461440
Florida,27.382699, -81.225808
Georgia,32.772021, -83.428757
Hawaii,19.634431, -155.466854
Idaho,44.013795, -114.175616
Illinois,39.979329, -89.193103
Indiana,40.113781, -86.132259
Iowa,42.259440, -93.483378
Kansas,38.523034, -98.531854
Kentucky,37.538883, -84.630291
Louisiana,30.131635, -91.679422
Maine,45.455247, -69.170692
Maryland,39.141734, -76.578524
Massachusetts,42.353216, -71.787577
Michigan,43.496005, -84.808756
Minnesota,46.626756, -94.500695
Mississippi,32.999179, -89.609675
Missouri,38.465778, -92.265057
Montana,47.347484, -109.147066
Nebraska,41.797902, -99.229973
Nevada,39.395257, -116.297094
New Hampshire,43.843031, -71.459183
New Jersey,40.093024, -74.484102
New Mexico,34.598225, -105.976047
New York,42.966824, -75.350477
North Carolina,35.568613, -78.722187
North Dakota,47.646559, -100.276191
Ohio,40.433523, -82.809026
Oklahoma,35.411475, -97.425372
Oregon,44.199496, -120.653839
Pennsylvania,40.778155, -76.808227
Rhode Island,41.698755, -71.554491
South Carolina,33.777176, -80.605126
South Dakota,44.411407, -100.008213
Tennessee,35.833910, -86.698903
Texas,31.382438, -99.121815
Utah,39.009235, -111.618798
Vermont,44.112541, -72.700687
Virginia,37.602369, -78.234315
Washington,47.358997, -120.655964
West Virginia,38.631448, -80.766464
Wisconsin,44.831344, -89.878690
Wyoming,42.952507, -107.352920
Yukon,62.818674, -135.211569
Northwest Territories,64.180059, -117.297435
Nunavut,67.214058, -92.273997
British Colombia,54.115639, -125.137637
Alberta,55.534317, -114.926001
Saskatchewan,52.968651, -105.884560
Manitoba,54.718835, -97.930360
Ontario,50.600876, -86.016107
Quebec,52.575181, -72.187086
Newfoundland and Labrador,48.704419, -56.407270
Prince Edward Island,46.302411, -63.356687
Nova Scotia,45.045318, -63.354481
New Brunswick,47.131270, -66.324556
