markerid,storeid,street,city,state,lat,lng,zipcode
3453,913917,1255 Hempstead Turnpike,Long Island,NY,40.719521,-73.589096,11553
3654,913808,735 Anderson Hill Rd,Purchase,NY,41.038799,-73.695745,10577
4241,915188,452 North Ave,New Rochelle,NY,40.917898,-73.785996,10801
3538,914163,93-40 Sutphin Blvd,Jamaica,NY,40.700380,-73.807665,11435
3517,913543,1276 Lexington Ave.,New York,NY,40.779377,-73.955667,10028
3519,913561,162 72nd Street,New York,NY,40.776285,-73.976105,10105
3516,913542,47 East 42nd St.,New York,NY,40.752698,-73.979021,10017
3518,913545,761 7th Avenue,New York,NY,40.761100,-73.983259,10019
3531,913851,1021 6th Ave,Manhattan,NY,40.752343,-73.985925,10018
3520,913563,750 9th Avenue,New York,NY,40.763784,-73.988731,10019
4202,913562,253 W 42nd St,New York,NY,40.756816,-73.988762,10036
3515,913538,152 West 34th Streeet,New York,NY,40.750508,-73.989479,10001
3447,913544,34 East Union Square,New York,NY,40.735724,-73.989139,10025
3514,913537,401 7th Avenue,New York,NY,40.749733,-73.991536,10001
3512,913535,2 Penn Plaza,New York,NY,40.749560,-73.991661,10121
3935,913534,1 Penn Plaza,New York,NY,40.749413,-73.991886,10119
3513,913536,2 Penn Plaza,New York,NY,40.750600,-73.996600,10121
4209,914850,381 Hamilton Street,Geneva,NY,40.495902,-74.461191,14456
4294,915228,2765 State Route 23,Stockholm,NJ,41.090500,-74.522300,7460
3560,914822,1100 Pattison Avenue ,Philadelphia,PA,39.904643,-75.167855,19148
3462,914626,3601 S. Broad Street,Philadelphia,PA,39.904272,-75.171332,19148
3528,913798,106 New Scotland Ave,Albany,NY,42.652610,-73.778500,12208
3755,914802,1174 Mt Cobb Rd,Lake Ariel,PA,41.409320,-75.505990,18436
3529,913799,1400 Washington Ave,Albany,NY,42.689741,-73.820390,12222
3723,914242,1028 Main St.,Hobart,NY,42.371484,-74.670907,13786
3734,914258,54 Elm St.,Delhi,NY,42.275146,-74.917243,13753
3712,914229,494 West Main Street,Hancock,NY,41.956423,-75.293473,13783
3714,914231,1308 E Main St,Endicott,NY,41.956423,-75.293473,13760
3736,914261,15863 St Hwy 23,Davenport,NY,42.470070,-74.847590,13750
3464,914702,225 Highland Park Blvd ,Hanover Township,PA,41.238095,-75.853572,18702
3727,914247,360 St Hwy 10,Deposit,NY,42.060083,-75.427677,13754
3728,914248,4968 State Highway 23,Oneonta,NY,42.448635,-75.036947,13820
3732,914253,570 Main St.,Oneonta,NY,42.456879,-75.039268,13820
3720,914237,195 County RT 48,Otego,NY,42.384846,-75.173565,13825
3731,914252,169 Oneida St,Oneonta,NY,42.444890,-75.106730,13820
3718,914235,4102 State Highway 23,West Oneonta,NY,42.470608,-75.108289,13861
3730,914251,180 Main St.,Unadilla,NY,42.321567,-75.330114,13849
3725,914245,1 West Main St.,Sidney,NY,42.313034,-75.389803,13838
3724,914244,112 Delaware Avenue,Sidney,NY,42.301297,-75.407925,13838
3578,914296,25106 State Route 11,Hallstead,PA,41.960830,-75.743351,18822
3689,913855,5 Commons Dr. Rte 28,Cooperstown,NY,42.649856,-74.962977,13326
3722,914241,49 Genesee St.,Cherry Valley,NY,42.797116,-74.754483,13320
3571,914167,4192 State Highway 30,Amsterdam,NY,43.017368,-74.193760,12010
3721,914238,3622 NYS Rt 79,Harpursville ,NY,42.182684,-75.632209,13787
3735,914259,1178 Vestal Ave.,Binghamton,NY,42.088924,-75.914416,13903
3710,914227,10 North Canal St.,Oxford,NY,42.442865,-75.596773,13830
3556,914683,Building 421,Dover,DE,39.118687,-75.456605,19902
3726,914246,5 Kattelville Rd.,Chenango Bridge,NY,42.169179,-75.873247,13745
3729,914250,1232 Upper Front St.,Binghamton,NY,42.154846,-75.896266,13905
3709,914226,4839 State Highway 23,Norwich,NY,42.540086,-75.507917,13815
3690,913856,54 East Main St,Norwich,NY,42.531530,-75.520230,13815
3716,914233,3300 Old Vestal Road,Vestal ,NY,42.130151,-75.993168,13851
3570,913795,1166 Castle Creek Rd,Castle Creek,NY,42.229429,-75.919059,13744
3719,914236,1 E Main St. West,Winfield,NY,42.885792,-75.187084,13491
3711,914228,84 North Main Street,Sherburne,NY,42.683911,-75.501639,1360
3540,914165,Aberdeen Proving Grounds G Bldg 6002,Aberdeen,MD,39.458760,-76.112036,21005
3692,913858,1145 Rt 17C,Owego,NY,42.098775,-76.235252,13827
3580,914166,6008 Jayhawk Rd. Bldg 6008,Aberdeen,MD,39.475097,-76.140110,21055
3696,913865,Brandford Town Centre RR Box 6035,Towanda,PA,41.753700,-76.477600,18848
3708,914225,977 RT 79,Richford,NY,42.360790,-76.210710,13835
3753,914704,448 North Keystone Ave.,Sayre,PA,41.992659,-76.529154,18840
3585,911157,3014 Elmira Street,Sayre,PA,41.991850,-76.547750,18810
3875,911062,141 Clinton Avenue,Cortland,NY,42.606319,-76.168170,13045
3674,913830,87 E State St,Sherrill,NY,43.075468,-75.593959,13461
3500,911166,3932 State Route 281,Cortland,NY,42.597277,-76.205164,13045
3677,913833,71 Nelson St,Cazenovia,NY,42.926554,-75.842545,13035
3695,913863,595 Elmira St,Troy,PA,41.790228,-76.778765,16947
3685,913841,217 Erie Blvd,Rome,NY,43.211288,-75.460513,14738
3670,913826,Rt 5 & Oxbow Rd,Canastota,NY,43.069730,-75.752140,13032
3557,914744,"Robert Trent Jones Golf Course, 213 Warren Rd",Ithaca,NY,42.457021,-76.468486,14850
3504,911232,710 South Meadow Street,Ithaca,NY,42.432057,-76.508021,14850
3649,911233,710 South Meadow St,Ithaca,NY,42.432490,-76.508060,14850
3942,913780,407 Elmira Rd.,Ithaca,NY,42.419372,-76.520332,14850
3754,914762,600 North Fulton St.,Ithaca College,NY,42.445200,-76.509222,14850
3648,911231,2300 Triphammer Road,Ithaca,NY,42.482922,-76.485161,14850
3448,913818,1600 Cedar Street,Elmira,NY,42.057990,-76.794240,14904
3669,913825,800 W Genesee St,Chittenango,NY,43.047080,-75.893650,13037
3590,911164,299 S. Main Street,Elmira,NY,42.082452,-76.804840,14904
3591,911165,299 South Main Street,Elmira,NY,42.082452,-76.804840,14904
3675,913831,199 W Seneca St,Manilus,NY,42.997032,-75.987034,13104
3673,913829,5351 N Burdick St,Fayetteville,NY,43.030350,-76.016879,13066
3589,911163,830 Consumer Square Plaza,Elmira,NY,42.130000,-76.852800,14903
3750,914678,4600 East Genesee St.,DeWitt,NY,43.034439,-76.064371,13214
3681,913837,4410 E Genesee St,De Witt,NY,43.035255,-76.067585,13214
3889,911100,7043 Manlius Center Road,East Syracuse,NY,43.062411,-76.035668,13057
4225,914073,3439 Erie Blvd. ,Dewitt,NY,43.046255,-76.067944,13214
3828,910898,985 East Brighton Avenue,Syracuse,NY,43.002975,-76.129859,13205
3672,913828,620 Nottingham Rd,Syracuse,NY,43.021926,-76.109486,13210
3759,914908,4141 S Salina St ,Syracuse,NY,43.008347,-76.141073,13212
3713,914230,2501 Erie Blvd,Syracuse,NY,43.053850,-76.104030,13224
3877,911064,6227 Thompson Road,Syracuse,NY,43.072724,-76.089155,13214
3510,913470,750 East Adams St,Syracuse,NY,43.042690,-76.140509,13210
3715,914232,4464 West Seneca Turnpike,Syracuse ,NY,42.997387,-76.203537,13212
3707,914224,356 N. Midler Ave.,Syracuse,NY,43.075919,-76.105375,13206
3679,913835,181 Shop City Plaza,Syracuse,NY,43.073520,-76.120430,13206
3924,913325,4753 Onondaga Blvd,Geddes,NY,43.033372,-76.189642,13219
4267,915184,700 1st North St. ,Syracuse,NY,43.069379,-76.148956,13208
3927,913368,6360 E Taft Rd,Cicero,NY,43.127120,-76.080403,13057
3680,913836,2120 W Genesee St,Syracuse,NY,43.048198,-76.197151,13219
