etat,quantite
Alabama,210
Alaska,27
Arizona,212
Arkansas,            127
California,         1,165
Colorado,            181
Connecticut,            143
Delaware,             34
Florida,            728
Georgia,            365
Hawaii,             76
Idaho,             50
Illinois,            647
Indiana,            326
Iowa ,            131
Kansas,            147
Kentucky,            221
Louisiana,            226
Maine,             58
Maryland,            280
Massachusetts,            249
Michigan,            545
Minnesota,            203
Mississippi,            124
Missouri,            299
Montana,             41
Nebraska,             71
Nevada,            128
New Hampshire,             62
New Jersey,            261
New Mexico,             80
New York,            655
North Carolina,            374
North Dakota,             22
Ohio,            616
Oklahoma,            155
Oregon,            152
Pennsylvania,            497
Rhode Island,             35
South Carolina,            180
South Dakota,             29
Tennessee,            285
Texas,            834
Utah,             89
Vermont,             29
Virginia,            382
Washington,            251
West Virginia,             90
Wisconsin,            285
Wyoming,             24
